Price,Close,High,Low,Open,Volume
Ticker,TSLA-USD,TSLA-USD,TSLA-USD,TSLA-USD,TSLA-USD
Date,,,,,
2022-08-04,1.1204990148544312,1.1827059984207153,0.9714949727058411,1.107699990272522,50738
2022-08-05,1.1470119953155518,1.1484260559082031,0.9546729922294617,1.1204760074615479,61046
2022-08-06,1.089264988899231,1.1504089832305908,0.967648983001709,1.147009015083313,46833
2022-08-07,1.15687894821167,1.1618510484695435,1.0861140489578247,1.0892679691314697,42138
2022-08-08,1.1031889915466309,1.1613030433654785,1.1016960144042969,1.1568959951400757,127673
2022-08-09,1.0849289894104004,1.1064050197601318,1.0636659860610962,1.1031800508499146,271901
2022-08-10,1.0870970487594604,1.0956979990005493,1.059541940689087,1.084926962852478,330457
2022-08-11,1.0742820501327515,1.09306800365448,1.0399600267410278,1.0870959758758545,312451
2022-08-12,1.0356800556182861,1.0833380222320557,1.0230289697647095,1.0742770433425903,129723
2022-08-13,1.1020350456237793,1.1355210542678833,1.03568696975708,1.03568696975708,56243
2022-08-14,1.0994160175323486,1.1409419775009155,1.0978150367736816,1.102025032043457,51482
2022-08-15,1.10303795337677,1.133376955986023,1.091863989830017,1.099403977394104,53774
2022-08-16,1.1268290281295776,1.1431219577789307,1.0933469533920288,1.1030319929122925,50853
2022-08-17,1.1172300577163696,1.1284339427947998,1.1001540422439575,1.1268409490585327,52954
2022-08-18,1.0782419443130493,1.12956702709198,1.0642470121383667,1.1172289848327637,85974
2022-08-19,1.0509159564971924,1.0820930004119873,1.0105550289154053,1.0782339572906494,130943
2022-08-20,1.0184580087661743,1.0671290159225464,1.0102219581604004,1.0509090423583984,129038
2022-08-21,1.0186690092086792,1.051826000213623,0.7992619872093201,1.0184589624404907,115474
2022-08-22,1.065708041191101,1.0811009407043457,1.0086549520492554,1.0186740159988403,95257
2022-08-23,1.1262860298156738,1.1557220220565796,0.9970420002937317,1.0657069683074951,116522
2022-08-24,1.132619023323059,1.1400279998779297,0.9832919836044312,1.1262860298156738,102565
2022-08-25,1.1040619611740112,1.1531970500946045,0.1337289959192276,1.132612943649292,96502
2022-08-26,1.0732150077819824,1.1211069822311401,1.0155689716339111,1.1040600538253784,79940
2022-08-27,1.0602580308914185,1.0798519849777222,1.0189670324325562,1.0732300281524658,90646
2022-08-28,1.0558840036392212,1.0692720413208008,1.0557119846343994,1.0602530241012573,91084
2022-08-29,1.0487060546875,1.0675309896469116,1.0469169616699219,1.055907964706421,85392
2022-08-30,1.0591620206832886,1.0768589973449707,1.0078599452972412,1.048712968826294,85063
2022-08-31,1.0529190301895142,1.0692230463027954,1.0515470504760742,1.0591720342636108,91503
2022-09-01,1.0600789785385132,1.0653029680252075,1.049062967300415,1.0529170036315918,80316
2022-09-02,1.0386170148849487,1.060811996459961,1.0277849435806274,1.0600639581680298,75113
2022-09-03,1.0404490232467651,1.0517170429229736,1.0278899669647217,1.0386179685592651,81443
2022-09-04,1.0487309694290161,1.0569119453430176,1.0400580167770386,1.0404510498046875,71280
2022-09-05,1.0477110147476196,1.056061029434204,1.0469809770584106,1.0487309694290161,76659
2022-09-06,1.030197024345398,1.0552879571914673,1.0295300483703613,1.047698974609375,80733
2022-09-07,0.9772859811782837,1.043900966644287,0.9764289855957031,1.0301569700241089,77049
2022-09-08,1.020740032196045,1.0212459564208984,0.9292870163917542,0.977275013923645,75725
2022-09-09,1.01556396484375,1.0239249467849731,0.9191309809684753,1.0207329988479614,69468
2022-09-10,1.0016560554504395,1.0252419710159302,0.9206230044364929,1.01556396484375,81469
2022-09-11,0.9936280250549316,1.0326199531555176,0.9933180212974548,1.001654028892517,64542
2022-09-12,1.0024110078811646,1.0338619947433472,0.9934719800949097,0.9936320185661316,57248
2022-09-13,0.9952089786529541,1.0309139490127563,0.916504979133606,1.0023679733276367,55152
2022-09-14,0.9759740233421326,0.9992650151252747,0.9168490171432495,0.9170669913291931,57059
2022-09-15,0.9163470268249512,0.9929080009460449,0.9162179827690125,0.975970983505249,45236
2022-09-16,0.9126200079917908,0.9920250177383423,0.9115989804267883,0.91634601354599,79258
2022-09-17,0.914870023727417,1.0031789541244507,0.9110040068626404,0.9126200079917908,64789
2022-09-18,0.9186649918556213,0.9476040005683899,0.9122459888458252,0.9148690104484558,59732
2022-09-19,0.916920006275177,1.0012589693069458,0.9155629873275757,0.9186509847640991,58710
2022-09-20,0.9276430010795593,0.9664369821548462,0.9143890142440796,0.9169179797172546,66921
2022-09-21,0.9453960061073303,0.9666900038719177,0.9275209903717041,0.9276379942893982,59183
2022-09-22,0.9417579770088196,0.9640709757804871,0.9408029913902283,0.9454150199890137,60035
2022-09-23,0.942296028137207,0.9580389857292175,0.9407719969749451,0.9417679905891418,47113
2022-09-24,0.9418190121650696,0.9635239839553833,0.9283980131149292,0.942296028137207,57899
2022-09-25,0.9602559804916382,0.9641450047492981,0.9411789774894714,0.9418219923973083,60259
2022-09-26,0.9279929995536804,0.9656090140342712,0.9275310039520264,0.9602479934692383,64240
2022-09-27,0.9266939759254456,0.9569969773292542,0.926675021648407,0.9279879927635193,65228
2022-09-28,0.9355959892272949,0.9524310231208801,0.9225159883499146,0.9266930222511292,59022
2022-09-29,0.9188079833984375,0.9356150031089783,0.9184049963951111,0.9356150031089783,61846
2022-09-30,0.9118710160255432,0.9230340123176575,0.9057610034942627,0.9188050031661987,78368
2022-10-01,0.9019629955291748,0.9161170125007629,0.9017869830131531,0.9118829965591431,59314
2022-10-02,0.8899909853935242,0.9060739874839783,0.8830059766769409,0.9019650220870972,40879
2022-10-03,0.9054470062255859,0.9163860082626343,0.8897200226783752,0.8899880051612854,46198
2022-10-04,0.9099360108375549,0.9148120284080505,0.9032670259475708,0.9054489731788635,60197
2022-10-05,0.9056820273399353,0.9137899875640869,0.9037269949913025,0.9099349975585938,54042
2022-10-06,0.897737979888916,0.9108030200004578,0.8971869945526123,0.9056779742240906,47389
